Iteracion,led_x,led_y,Diferencia,Data,Simuladas
35,3,12,2639737682.9266796,2639878016.9118094,140417.06
35,3,13,2354969486.943857,2354985158.158999,15671.213
35,3,14,1748184131.0698342,1748200968.1788473,16837.125
35,3,15,1554899359.5779445,1555070646.1163015,171286.52
35,3,16,1637942003.7560275,1638276406.3421552,334402.53
35,3,17,1596561304.7849476,1596726434.1510956,165129.38
35,3,18,1874091256.0060256,1874102176.821584,10920.819
35,3,19,2089453441.1116107,2089468412.582207,14971.478
35,3,20,2340434665.0469584,2340574089.2498794,140012.23
40,1,1,1361584812248.738,1451541848603.4019,89956920000.0
40,2,1,9306911319.001709,10176026587.078632,1333665900.0
40,2,2,8549075533.264157,9547824793.353415,1689670100.0
40,2,3,7431999428.195555,8413401993.768299,1545128100.0
40,2,4,7480220504.74487,8372318909.940894,1333805600.0
40,2,5,7538527298.368323,8433770265.178412,1445011200.0
40,2,6,10211551139.492346,11276598451.37594,1602281300.0
40,2,7,10396583309.603186,11682544661.32534,2127275900.0
40,2,8,8237945324.382875,9293744349.226927,1879071100.0
40,2,9,8001755771.020967,8917860443.958853,1491376500.0
40,2,10,8065619198.343398,8988917348.09337,1419042000.0
40,3,1,2661850392.6122556,2662111397.2950034,261004.81
40,3,2,2531764258.2467995,2531894828.4574986,130660.15
40,3,3,2303485701.9691634,2303502093.3394847,16391.355
40,3,4,1742359517.814815,1742379172.2394671,19654.44
40,3,5,1622561490.6267195,1622726195.523456,164704.98
40,3,6,1642973097.738539,1643310856.257977,337758.7
40,3,7,1656048806.7701225,1656229425.7720997,180619.11
40,3,8,1882176926.5558422,1882194247.3107564,17320.78
40,3,9,2125163078.8693933,2125178767.7281563,15688.854
40,3,10,2360754969.0363455,2360901699.3197794,146730.42
40,3,11,2752073220.9172463,2752347281.5061994,274060.72
40,3,12,2639722220.5936675,2639878016.9118094,155887.1
40,3,13,2354960802.918159,2354985158.158999,24355.225
40,3,14,1748174131.5914712,1748200968.1788473,26836.57
40,3,15,1554890266.4569893,1555070646.1163015,180379.64
40,3,16,1637917841.912879,1638276406.3421552,358564.53
