Iteracion,led_x,led_y,Diferencia,Data,Simuladas
5,24,12,436578454.4883291,436590264.78143156,11810.301
5,24,14,464012428.40055805,464299178.32784265,287012.66
5,24,16,565367090.6019467,567987151.442726,3334928.2
5,24,18,551533778.3690839,551965769.171354,431991.03
5,24,20,567865624.1084819,567878524.7755972,12900.671
5,24,22,487921673.8680772,487927639.40517896,5965.5337
5,24,24,453697586.4647279,453700380.8449236,2794.3772
5,24,26,426257502.01605463,426259645.3338099,2143.3164
5,26,6,278240772.6938822,278242326.3211417,1553.6287
5,26,8,297421207.2959766,297423313.931232,2106.6372
5,26,10,287789587.10117185,287794484.63701546,4897.5317
5,26,12,330997547.6804982,331006246.83495766,8699.16
5,26,14,336925499.90420836,337187601.48734695,268752.47
5,26,16,385893037.1112303,388248965.6340632,2355927.2
5,26,18,358478621.89018387,358871398.9573452,395776.28
5,26,20,396195732.7621212,396206935.72298837,11202.962
5,26,22,370947091.74073344,370952260.8981518,5169.1543
5,26,24,340428455.588997,340430646.76186377,2191.1733
5,26,26,335806002.89511424,335807645.12248504,1642.2272
6,6,6,328672927.9586083,328674570.5838822,1642.6248
6,6,8,348143530.0223355,348145706.20703024,2176.1848
6,6,10,338246885.71583015,338251870.5292859,4984.8125
6,6,12,375176680.04605365,375187169.0638688,10489.022
6,6,14,370867493.61278075,371214082.6229665,358360.34
6,6,16,396353468.3288407,398242377.464428,2411519.0
6,6,18,350891486.50618577,351200355.55267185,308869.03
6,6,20,338095912.6190381,338105389.98365825,9477.366
6,6,22,311201527.468212,311206594.2534992,5066.786
6,6,24,283022274.31742465,283024489.391471,2215.0718
6,6,26,290645689.2359926,290647312.9827024,1623.7473
6,8,6,424765017.99436325,424767194.3137637,2176.321
6,8,8,444222541.10624033,444225323.2262891,2782.1267
6,8,10,471267856.45297843,471273577.36910665,5720.9175
6,8,12,560782069.1456728,560794541.7579709,12472.6045
6,8,14,538032548.9987715,538354947.7955059,342244.2
6,8,16,575861642.313511,579109190.0684261,3398600.0
6,8,18,465686048.31329745,466072883.3407086,388601.0
6,8,20,444137248.92762554,444149821.0047073,12572.068
6,8,22,408740386.28952503,408746484.5068406,6098.2227
6,8,24,418740057.27224946,418742900.9812238,2843.7107
6,8,26,415329862.66960573,415332068.9269318,2206.2588
6,10,6,535926967.6080043,535932077.44686884,5127.7017
6,10,8,626154337.6069676,626160316.2480139,5978.646
6,10,10,855723247.7071712,855734335.8549255,11088.149
6,10,12,952457470.3475138,952479218.1233642,21747.781
6,10,14,983814095.5014981,984210019.8567272,395924.66
6,10,16,1036701713.4909569,1043104296.9386994,6641302.0
6,10,18,750076374.2897389,750581347.9158521,505058.75
6,10,20,692982032.1355464,693005185.6255932,23153.48
6,10,22,718793336.7942137,718805163.9316635,11827.129
6,10,24,671280036.0128894,671286152.953694,6116.944
6,10,26,580722012.9164438,580727112.3110319,5099.389
6,12,6,740975284.570821,740986636.2101434,11351.65
6,12,8,908047857.145732,908061280.5105826,13423.351
6,12,10,1214825767.5749156,1214847676.8822675,21909.273
6,12,12,1533399044.458248,1533459711.2593768,60666.766
6,12,14,1988499331.8761618,1990389751.3108914,1897283.1
6,12,16,2415397689.361291,2433414771.240269,18232610.0
6,12,18,1804569706.3288493,1806176252.9835434,1606547.0
6,12,20,1502198106.341369,1502248050.8705063,49944.555
6,12,22,1233217261.7973096,1233241683.8680649,24422.09
6,12,24,925996809.3349372,926009927.1645377,13117.841
6,12,26,739103138.959895,739113364.1011336,10225.139
6,14,6,923511478.171085,923987060.240725,509676.7
6,14,8,1110781555.7394314,1111323594.9013598,542494.56
6,14,10,1412517029.1178064,1413060628.598468,543599.5
6,14,12,2460383868.3163147,2462786805.308541,2402937.2
6,14,14,5289631759.46327,5314983572.47767,26545382.0
6,14,16,10867997191.864578,11749118358.77177,983711500.0
6,14,18,6464058228.175893,6502966080.668471,39871420.0
6,14,20,2896499315.7331753,2898953127.194635,2454667.5
6,14,22,1652480621.1052582,1653080683.9100797,600977.9
6,14,24,1114718682.4686294,1115196348.3129127,481636.84
6,14,26,814967919.7011385,815366817.7359037,398897.78
6,16,6,933956153.5329714,940749325.5523566,6793582.0
6,16,8,1190948024.1876929,1200093820.6539075,9153846.0
6,16,10,1718600184.3814483,1734134354.615302,16276834.0
6,16,12,3463534355.8789077,3507628736.975707,44195732.0
6,16,14,12017750753.83951,13100967782.162106,1287637400.0
6,16,16,184305932058.46466,1699631967460.2434,1690966800000.0
6,16,18,13935123082.22891,15521329784.945288,1898948700.0
6,16,20,3387446293.051768,3429991399.001617,45838590.0
6,16,22,1937985400.028836,1955398704.5841215,17543482.0
6,16,24,1393994143.0819585,1403334523.0531025,9348384.0
6,16,26,1161482734.2185419,1168378937.6402776,6897527.0
6,18,6,788297860.1189111,788621387.8219367,323527.53
6,18,8,1080710457.7882857,1081067076.5421336,356618.47
6,18,10,1620873649.1853094,1621306392.5869634,440600.94
6,18,12,2815510676.2220116,2817323931.1350107,1819052.5
6,18,14,5822306348.017016,5843086146.017466,20984708.0
6,18,16,10302072767.770782,10895157955.378313,677659400.0
6,18,18,5337554100.310536,5363096884.440509,25841390.0
6,18,20,2472281011.8931494,2473831068.354368,1717345.2
6,18,22,1360770270.5465646,1361201054.732271,443356.7
6,18,24,1091734680.6453884,1092118093.6355898,411811.28
6,18,26,901303641.45928,901683747.7805996,427527.06
